frame,measured_x,measured_y,kalman_x,kalman_y,loop_ms
1,583.0,279.5,585.0,279.5,0.6168999971123412
2,584.5,279.0,584.3958129882812,279.5,0.4639999970095232
3,582.5,279.5,584.2468872070312,279.2575988769531,0.4676999960793182
4,580.5,279.5,583.0961303710938,279.3207092285156,0.42630000098142773
5,579.5,279.5,581.2702026367188,279.37945556640625,0.4276999970898032
6,578.0,277.0,579.6677856445312,279.4219055175781,0.3969999961555004
7,578.0,277.0,578.021484375,278.291259765625,0.41969999438151717
8,577.5,278.5,577.0120239257812,277.54388427734375,0.4565999988699332
9,574.5,278.5,576.2071533203125,277.6515808105469,0.5509000038728118
10,574.0,275.0,574.579833984375,277.755859375,0.40299999818671495
11,573.5,275.5,573.2987670898438,276.5628356933594,0.3208999987691641
12,568.5,274.0,572.2740478515625,275.86041259765625,0.3935999993700534
13,570.5,272.0,569.8479614257812,274.8265075683594,0.443600001744926
14,569.0,273.0,568.799072265625,273.3644104003906,0.48240000614896417
15,568.0,274.0,567.6241455078125,272.6258850097656,0.35349999961908907
16,566.0,272.0,566.5205078125,272.4770202636719,0.3412999940337613
17,564.0,273.5,565.1224975585938,271.7506103515625,0.35259999276604503
18,563.5,271.5,563.487060546875,271.779052734375,0.4327000060584396
19,561.5,270.5,562.1917114257812,271.1867980957031,0.40929998795036227
20,560.5,268.5,560.6499633789062,270.43719482421875,0.35509999725036323
21,560.0,268.0,559.2626953125,269.21356201171875,0.37540000630542636
22,559.5,266.0,558.1790771484375,268.144287109375,0.4989000008208677
23,558.0,265.0,557.3381958007812,266.6860046386719,0.4243000003043562
24,556.0,264.5,556.333740234375,265.2785339355469,0.4579999949783087
25,553.0,262.5,555.0137329101562,264.1031494140625,0.44160000106785446
26,554.5,262.0,553.0870361328125,262.5984191894531,0.3797999961534515
27,552.5,259.5,552.259765625,261.3641662597656,0.2843999973265454
28,550.0,259.5,551.09326171875,259.6550598144531,0.2700000040931627
29,549.0,258.0,549.47119140625,258.4501953125,0.43149999692104757
30,549.0,256.5,548.0114135742188,257.1338195800781,0.41870000131893903
31,548.5,257.0,547.0396728515625,255.7299346923828,0.486999997519888
32,546.0,257.5,546.2841186523438,254.96157836914062,0.43369999912101775
33,544.0,254.0,544.9912719726562,254.7033233642578,0.44580000394489616
34,545.5,252.5,543.435791015625,253.43775939941406,0.4318999999668449
35,543.0,251.5,542.9015502929688,252.05389404296875,0.480200003948994
36,540.0,250.5,541.7833862304688,250.75665283203125,0.4346000059740618
37,541.0,250.0,540.010009765625,249.53530883789062,0.44800000614486635
38,539.0,247.0,539.1183471679688,248.55389404296875,0.42270000267308205
39,539.5,246.0,537.8884887695312,246.8880615234375,0.4099000070709735
40,536.0,247.5,537.259521484375,245.37620544433594,0.4178000090178102
41,535.5,244.5,535.705810546875,244.87559509277344,0.4197999951429665
42,535.5,242.5,534.457275390625,243.60687255859375,0.4608000017469749
43,532.0,241.5,533.6362915039062,242.0623321533203,0.4631000047083944
44,529.0,240.0,531.9287719726562,240.65211486816406,0.40049999370239675
45,530.0,238.5,529.683837890625,239.18157958984375,0.4275999963283539
46,528.5,239.0,528.4273681640625,237.66729736328125,0.41090000013355166
47,528.5,237.0,527.1016845703125,236.82481384277344,0.44830000842921436
48,526.0,238.0,526.2448120117188,235.64450073242188,0.4393999988678843
49,525.5,235.0,524.8831176757812,235.2381591796875,0.5374000029405579
50,525.5,236.0,523.8111572265625,234.0425262451172,0.43009998626075685
51,522.0,236.0,523.14697265625,233.60504150390625,0.41710000368766487
52,520.0,235.0,521.5743408203125,233.42137145996094,0.45089999912306666
53,519.5,233.0,519.7930297851562,233.0740203857422,0.4658999969251454
